"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	Count
	"Alabama"	"01"	"2011"	"2011"	"Pancreas"	"21100"	759
	"Alabama"	"01"	"2011"	"2011"	"Prostate"	"28010"	3811
	"Alabama"	"01"	"2011"	"2011"	"Stomach"	"21020"	363
	"Alabama"	"01"	"2011"	"2011"	"Thyroid"	"32010"	473
	"Alabama"	"01"	"2011"	"2011"	"Urinary Bladder, invasive and in situ"	"29010"	1067
	"Alabama"	"01"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	393
	"Alabama"	"01"	"2012"	"2012"	"Breast"	"26000"	3605
	"Alabama"	"01"	"2012"	"2012"	"Cervix Uteri"	"27010"	235
	"Alabama"	"01"	"2012"	"2012"	"Colon and Rectum"	"21041-21052"	2439
	"Alabama"	"01"	"2012"	"2012"	"Corpus Uteri"	"27020"	549
	"Alabama"	"01"	"2012"	"2012"	"Esophagus"	"21010"	259
	"Alabama"	"01"	"2012"	"2012"	"Gallbladder"	"21080"	54
	"Alabama"	"01"	"2012"	"2012"	"Kidney and Renal Pelvis"	"29020"	1000
	"Alabama"	"01"	"2012"	"2012"	"Larynx"	"22020"	255
	"Alabama"	"01"	"2012"	"2012"	"Leukemias"	"35011-35043"	666
	"Alabama"	"01"	"2012"	"2012"	"Liver"	"21071"	360
	"Alabama"	"01"	"2012"	"2012"	"Lung and Bronchus"	"22030"	4030
	"Alabama"	"01"	"2012"	"2012"	"Melanoma of the Skin"	"25010"	1204
	"Alabama"	"01"	"2012"	"2012"	"Myeloma"	"34000"	372
	"Alabama"	"01"	"2012"	"2012"	"Non-Hodgkin Lymphoma"	"33041-33042"	901
	"Alabama"	"01"	"2012"	"2012"	"Oral Cavity and Pharynx"	"20010-20100"	753
	"Alabama"	"01"	"2012"	"2012"	"Ovary"	"27040"	355
	"Alabama"	"01"	"2012"	"2012"	"Pancreas"	"21100"	704
	"Alabama"	"01"	"2012"	"2012"	"Prostate"	"28010"	3404
	"Alabama"	"01"	"2012"	"2012"	"Stomach"	"21020"	365
	"Alabama"	"01"	"2012"	"2012"	"Thyroid"	"32010"	445
	"Alabama"	"01"	"2012"	"2012"	"Urinary Bladder, invasive and in situ"	"29010"	989
	"Alabama"	"01"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	355
	"Alabama"	"01"	"2013"	"2013"	"Breast"	"26000"	3729
	"Alabama"	"01"	"2013"	"2013"	"Cervix Uteri"	"27010"	224
	"Alabama"	"01"	"2013"	"2013"	"Colon and Rectum"	"21041-21052"	2516
	"Alabama"	"01"	"2013"	"2013"	"Corpus Uteri"	"27020"	566
	"Alabama"	"01"	"2013"	"2013"	"Esophagus"	"21010"	276
	"Alabama"	"01"	"2013"	"2013"	"Gallbladder"	"21080"	32
	"Alabama"	"01"	"2013"	"2013"	"Kidney and Renal Pelvis"	"29020"	983
	"Alabama"	"01"	"2013"	"2013"	"Larynx"	"22020"	250
	"Alabama"	"01"	"2013"	"2013"	"Leukemias"	"35011-35043"	658
	"Alabama"	"01"	"2013"	"2013"	"Liver"	"21071"	417
	"Alabama"	"01"	"2013"	"2013"	"Lung and Bronchus"	"22030"	3941
	"Alabama"	"01"	"2013"	"2013"	"Melanoma of the Skin"	"25010"	1034
	"Alabama"	"01"	"2013"	"2013"	"Myeloma"	"34000"	397
	"Alabama"	"01"	"2013"	"2013"	"Non-Hodgkin Lymphoma"	"33041-33042"	922
	"Alabama"	"01"	"2013"	"2013"	"Oral Cavity and Pharynx"	"20010-20100"	759
	"Alabama"	"01"	"2013"	"2013"	"Ovary"	"27040"	372
	"Alabama"	"01"	"2013"	"2013"	"Pancreas"	"21100"	725
	"Alabama"	"01"	"2013"	"2013"	"Prostate"	"28010"	3307
	"Alabama"	"01"	"2013"	"2013"	"Stomach"	"21020"	365
	"Alabama"	"01"	"2013"	"2013"	"Thyroid"	"32010"	436
	"Alabama"	"01"	"2013"	"2013"	"Urinary Bladder, invasive and in situ"	"29010"	1121
	"Alabama"	"01"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	318
	"Alabama"	"01"	"2014"	"2014"	"Breast"	"26000"	3767
	"Alabama"	"01"	"2014"	"2014"	"Cervix Uteri"	"27010"	246
	"Alabama"	"01"	"2014"	"2014"	"Colon and Rectum"	"21041-21052"	2542
	"Alabama"	"01"	"2014"	"2014"	"Corpus Uteri"	"27020"	617
	"Alabama"	"01"	"2014"	"2014"	"Esophagus"	"21010"	255
	"Alabama"	"01"	"2014"	"2014"	"Gallbladder"	"21080"	58
	"Alabama"	"01"	"2014"	"2014"	"Kidney and Renal Pelvis"	"29020"	984
	"Alabama"	"01"	"2014"	"2014"	"Larynx"	"22020"	260
	"Alabama"	"01"	"2014"	"2014"	"Leukemias"	"35011-35043"	695
	"Alabama"	"01"	"2014"	"2014"	"Liver"	"21071"	398
	"Alabama"	"01"	"2014"	"2014"	"Lung and Bronchus"	"22030"	3960
	"Alabama"	"01"	"2014"	"2014"	"Melanoma of the Skin"	"25010"	1058
	"Alabama"	"01"	"2014"	"2014"	"Myeloma"	"34000"	417
	"Alabama"	"01"	"2014"	"2014"	"Non-Hodgkin Lymphoma"	"33041-33042"	911
	"Alabama"	"01"	"2014"	"2014"	"Oral Cavity and Pharynx"	"20010-20100"	756
	"Alabama"	"01"	"2014"	"2014"	"Ovary"	"27040"	355
	"Alabama"	"01"	"2014"	"2014"	"Pancreas"	"21100"	748
	"Alabama"	"01"	"2014"	"2014"	"Prostate"	"28010"	3093
	"Alabama"	"01"	"2014"	"2014"	"Stomach"	"21020"	408
	"Alabama"	"01"	"2014"	"2014"	"Thyroid"	"32010"	518
	"Alabama"	"01"	"2014"	"2014"	"Urinary Bladder, invasive and in situ"	"29010"	1053
	"Alabama"	"01"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	344
	"Alabama"	"01"	"2015"	"2015"	"Breast"	"26000"	3886
	"Alabama"	"01"	"2015"	"2015"	"Cervix Uteri"	"27010"	238
	"Alabama"	"01"	"2015"	"2015"	"Colon and Rectum"	"21041-21052"	2506
	"Alabama"	"01"	"2015"	"2015"	"Corpus Uteri"	"27020"	616
	"Alabama"	"01"	"2015"	"2015"	"Esophagus"	"21010"	297
	"Alabama"	"01"	"2015"	"2015"	"Gallbladder"	"21080"	53
	"Alabama"	"01"	"2015"	"2015"	"Kidney and Renal Pelvis"	"29020"	1067
	"Alabama"	"01"	"2015"	"2015"	"Larynx"	"22020"	269
	"Alabama"	"01"	"2015"	"2015"	"Leukemias"	"35011-35043"	704
	"Alabama"	"01"	"2015"	"2015"	"Liver"	"21071"	431
	"Alabama"	"01"	"2015"	"2015"	"Lung and Bronchus"	"22030"	3942
	"Alabama"	"01"	"2015"	"2015"	"Melanoma of the Skin"	"25010"	1270
	"Alabama"	"01"	"2015"	"2015"	"Myeloma"	"34000"	414
	"Alabama"	"01"	"2015"	"2015"	"Non-Hodgkin Lymphoma"	"33041-33042"	942
	"Alabama"	"01"	"2015"	"2015"	"Oral Cavity and Pharynx"	"20010-20100"	795
	"Alabama"	"01"	"2015"	"2015"	"Ovary"	"27040"	347
	"Alabama"	"01"	"2015"	"2015"	"Pancreas"	"21100"	774
	"Alabama"	"01"	"2015"	"2015"	"Prostate"	"28010"	3486
	"Alabama"	"01"	"2015"	"2015"	"Stomach"	"21020"	382
	"Alabama"	"01"	"2015"	"2015"	"Thyroid"	"32010"	523
	"Alabama"	"01"	"2015"	"2015"	"Urinary Bladder, invasive and in situ"	"29010"	1082
	"Alabama"	"01"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	350
	"Alabama"	"01"	"2016"	"2016"	"Breast"	"26000"	3884
	"Alabama"	"01"	"2016"	"2016"	"Cervix Uteri"	"27010"	250
	"Alabama"	"01"	"2016"	"2016"	"Colon and Rectum"	"21041-21052"	2572
	"Alabama"	"01"	"2016"	"2016"	"Corpus Uteri"	"27020"	614
	"Alabama"	"01"	"2016"	"2016"	"Esophagus"	"21010"	273
	"Alabama"	"01"	"2016"	"2016"	"Gallbladder"	"21080"	60
	"Alabama"	"01"	"2016"	"2016"	"Kidney and Renal Pelvis"	"29020"	1080
	"Alabama"	"01"	"2016"	"2016"	"Larynx"	"22020"	250
	"Alabama"	"01"	"2016"	"2016"	"Leukemias"	"35011-35043"	700
	"Alabama"	"01"	"2016"	"2016"	"Liver"	"21071"	459
	"Alabama"	"01"	"2016"	"2016"	"Lung and Bronchus"	"22030"	4015
	"Alabama"	"01"	"2016"	"2016"	"Melanoma of the Skin"	"25010"	1388
	"Alabama"	"01"	"2016"	"2016"	"Myeloma"	"34000"	460
	"Alabama"	"01"	"2016"	"2016"	"Non-Hodgkin Lymphoma"	"33041-33042"	947
	"Alabama"	"01"	"2016"	"2016"	"Oral Cavity and Pharynx"	"20010-20100"	823
	"Alabama"	"01"	"2016"	"2016"	"Ovary"	"27040"	351
	"Alabama"	"01"	"2016"	"2016"	"Pancreas"	"21100"	823
	"Alabama"	"01"	"2016"	"2016"	"Prostate"	"28010"	3658
	"Alabama"	"01"	"2016"	"2016"	"Stomach"	"21020"	391
	"Alabama"	"01"	"2016"	"2016"	"Thyroid"	"32010"	533
	"Alabama"	"01"	"2016"	"2016"	"Urinary Bladder, invasive and in situ"	"29010"	1056
	"Alaska"	"02"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	71
	"Alaska"	"02"	"2010"	"2010"	"Breast"	"26000"	422
	"Alaska"	"02"	"2010"	"2010"	"Cervix Uteri"	"27010"	16
	"Alaska"	"02"	"2010"	"2010"	"Colon and Rectum"	"21041-21052"	285
	"Alaska"	"02"	"2010"	"2010"	"Corpus Uteri"	"27020"	78
	"Alaska"	"02"	"2010"	"2010"	"Esophagus"	"21010"	41
	"Alaska"	"02"	"2010"	"2010"	"Kidney and Renal Pelvis"	"29020"	96
	"Alaska"	"02"	"2010"	"2010"	"Larynx"	"22020"	19
	"Alaska"	"02"	"2010"	"2010"	"Leukemias"	"35011-35043"	84
	"Alaska"	"02"	"2010"	"2010"	"Liver"	"21071"	50
	"Alaska"	"02"	"2010"	"2010"	"Lung and Bronchus"	"22030"	363
	"Alaska"	"02"	"2010"	"2010"	"Melanoma of the Skin"	"25010"	93
	"Alaska"	"02"	"2010"	"2010"	"Myeloma"	"34000"	31
	"Alaska"	"02"	"2010"	"2010"	"Non-Hodgkin Lymphoma"	"33041-33042"	103
	"Alaska"	"02"	"2010"	"2010"	"Oral Cavity and Pharynx"	"20010-20100"	71
	"Alaska"	"02"	"2010"	"2010"	"Ovary"	"27040"	32
	"Alaska"	"02"	"2010"	"2010"	"Pancreas"	"21100"	66
	"Alaska"	"02"	"2010"	"2010"	"Prostate"	"28010"	393
	"Alaska"	"02"	"2010"	"2010"	"Stomach"	"21020"	49
	"Alaska"	"02"	"2010"	"2010"	"Thyroid"	"32010"	77
	"Alaska"	"02"	"2010"	"2010"	"Urinary Bladder, invasive and in situ"	"29010"	120
	"Alaska"	"02"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	42
	"Alaska"	"02"	"2011"	"2011"	"Breast"	"26000"	430
	"Alaska"	"02"	"2011"	"2011"	"Cervix Uteri"	"27010"	21
	"Alaska"	"02"	"2011"	"2011"	"Colon and Rectum"	"21041-21052"	267
	"Alaska"	"02"	"2011"	"2011"	"Corpus Uteri"	"27020"	93
	"Alaska"	"02"	"2011"	"2011"	"Esophagus"	"21010"	41
	"Alaska"	"02"	"2011"	"2011"	"Kidney and Renal Pelvis"	"29020"	100
	"Alaska"	"02"	"2011"	"2011"	"Leukemias"	"35011-35043"	85
	"Alaska"	"02"	"2011"	"2011"	"Liver"	"21071"	56
	"Alaska"	"02"	"2011"	"2011"	"Lung and Bronchus"	"22030"	355
	"Alaska"	"02"	"2011"	"2011"	"Melanoma of the Skin"	"25010"	83
	"Alaska"	"02"	"2011"	"2011"	"Myeloma"	"34000"	36
	"Alaska"	"02"	"2011"	"2011"	"Non-Hodgkin Lymphoma"	"33041-33042"	112
	"Alaska"	"02"	"2011"	"2011"	"Oral Cavity and Pharynx"	"20010-20100"	86
	"Alaska"	"02"	"2011"	"2011"	"Ovary"	"27040"	47
	"Alaska"	"02"	"2011"	"2011"	"Pancreas"	"21100"	74
	"Alaska"	"02"	"2011"	"2011"	"Prostate"	"28010"	347
	"Alaska"	"02"	"2011"	"2011"	"Stomach"	"21020"	48
	"Alaska"	"02"	"2011"	"2011"	"Thyroid"	"32010"	69
	"Alaska"	"02"	"2011"	"2011"	"Urinary Bladder, invasive and in situ"	"29010"	138
	"Alaska"	"02"	"2012"	"2012"	"Brain and Other Nervous System"	"31010-31040"	43
	"Alaska"	"02"	"2012"	"2012"	"Breast"	"26000"	422
	"Alaska"	"02"	"2012"	"2012"	"Cervix Uteri"	"27010"	30
	"Alaska"	"02"	"2012"	"2012"	"Colon and Rectum"	"21041-21052"	250
	"Alaska"	"02"	"2012"	"2012"	"Corpus Uteri"	"27020"	93
	"Alaska"	"02"	"2012"	"2012"	"Esophagus"	"21010"	27
	"Alaska"	"02"	"2012"	"2012"	"Kidney and Renal Pelvis"	"29020"	94
	"Alaska"	"02"	"2012"	"2012"	"Larynx"	"22020"	18
	"Alaska"	"02"	"2012"	"2012"	"Leukemias"	"35011-35043"	63
	"Alaska"	"02"	"2012"	"2012"	"Liver"	"21071"	63
	"Alaska"	"02"	"2012"	"2012"	"Lung and Bronchus"	"22030"	349
	"Alaska"	"02"	"2012"	"2012"	"Melanoma of the Skin"	"25010"	100
	"Alaska"	"02"	"2012"	"2012"	"Myeloma"	"34000"	29
	"Alaska"	"02"	"2012"	"2012"	"Non-Hodgkin Lymphoma"	"33041-33042"	115
	"Alaska"	"02"	"2012"	"2012"	"Oral Cavity and Pharynx"	"20010-20100"	99
	"Alaska"	"02"	"2012"	"2012"	"Ovary"	"27040"	41
	"Alaska"	"02"	"2012"	"2012"	"Pancreas"	"21100"	74
	"Alaska"	"02"	"2012"	"2012"	"Prostate"	"28010"	312
	"Alaska"	"02"	"2012"	"2012"	"Stomach"	"21020"	44
	"Alaska"	"02"	"2012"	"2012"	"Thyroid"	"32010"	80
	"Alaska"	"02"	"2012"	"2012"	"Urinary Bladder, invasive and in situ"	"29010"	111
	"Alaska"	"02"	"2013"	"2013"	"Brain and Other Nervous System"	"31010-31040"	37
	"Alaska"	"02"	"2013"	"2013"	"Breast"	"26000"	428
	"Alaska"	"02"	"2013"	"2013"	"Cervix Uteri"	"27010"	19
	"Alaska"	"02"	"2013"	"2013"	"Colon and Rectum"	"21041-21052"	288
	"Alaska"	"02"	"2013"	"2013"	"Corpus Uteri"	"27020"	80
	"Alaska"	"02"	"2013"	"2013"	"Esophagus"	"21010"	38
	"Alaska"	"02"	"2013"	"2013"	"Kidney and Renal Pelvis"	"29020"	133
	"Alaska"	"02"	"2013"	"2013"	"Leukemias"	"35011-35043"	70
	"Alaska"	"02"	"2013"	"2013"	"Liver"	"21071"	66
	"Alaska"	"02"	"2013"	"2013"	"Lung and Bronchus"	"22030"	328
	"Alaska"	"02"	"2013"	"2013"	"Melanoma of the Skin"	"25010"	104
	"Alaska"	"02"	"2013"	"2013"	"Myeloma"	"34000"	31
	"Alaska"	"02"	"2013"	"2013"	"Non-Hodgkin Lymphoma"	"33041-33042"	120
	"Alaska"	"02"	"2013"	"2013"	"Oral Cavity and Pharynx"	"20010-20100"	80
	"Alaska"	"02"	"2013"	"2013"	"Ovary"	"27040"	37
	"Alaska"	"02"	"2013"	"2013"	"Pancreas"	"21100"	73
	"Alaska"	"02"	"2013"	"2013"	"Prostate"	"28010"	279
	"Alaska"	"02"	"2013"	"2013"	"Stomach"	"21020"	47
	"Alaska"	"02"	"2013"	"2013"	"Thyroid"	"32010"	90
	"Alaska"	"02"	"2013"	"2013"	"Urinary Bladder, invasive and in situ"	"29010"	120
	"Alaska"	"02"	"2014"	"2014"	"Brain and Other Nervous System"	"31010-31040"	41
	"Alaska"	"02"	"2014"	"2014"	"Breast"	"26000"	444
	"Alaska"	"02"	"2014"	"2014"	"Cervix Uteri"	"27010"	20
	"Alaska"	"02"	"2014"	"2014"	"Colon and Rectum"	"21041-21052"	276
	"Alaska"	"02"	"2014"	"2014"	"Corpus Uteri"	"27020"	82
	"Alaska"	"02"	"2014"	"2014"	"Esophagus"	"21010"	43
	"Alaska"	"02"	"2014"	"2014"	"Kidney and Renal Pelvis"	"29020"	139
	"Alaska"	"02"	"2014"	"2014"	"Larynx"	"22020"	19
	"Alaska"	"02"	"2014"	"2014"	"Leukemias"	"35011-35043"	79
	"Alaska"	"02"	"2014"	"2014"	"Liver"	"21071"	63
	"Alaska"	"02"	"2014"	"2014"	"Lung and Bronchus"	"22030"	355
	"Alaska"	"02"	"2014"	"2014"	"Melanoma of the Skin"	"25010"	108
	"Alaska"	"02"	"2014"	"2014"	"Myeloma"	"34000"	37
	"Alaska"	"02"	"2014"	"2014"	"Non-Hodgkin Lymphoma"	"33041-33042"	97
	"Alaska"	"02"	"2014"	"2014"	"Oral Cavity and Pharynx"	"20010-20100"	78
	"Alaska"	"02"	"2014"	"2014"	"Ovary"	"27040"	37
	"Alaska"	"02"	"2014"	"2014"	"Pancreas"	"21100"	85
	"Alaska"	"02"	"2014"	"2014"	"Prostate"	"28010"	276
	"Alaska"	"02"	"2014"	"2014"	"Stomach"	"21020"	57
	"Alaska"	"02"	"2014"	"2014"	"Thyroid"	"32010"	100
	"Alaska"	"02"	"2014"	"2014"	"Urinary Bladder, invasive and in situ"	"29010"	115
	"Alaska"	"02"	"2015"	"2015"	"Brain and Other Nervous System"	"31010-31040"	52
	"Alaska"	"02"	"2015"	"2015"	"Breast"	"26000"	436
	"Alaska"	"02"	"2015"	"2015"	"Cervix Uteri"	"27010"	29
	"Alaska"	"02"	"2015"	"2015"	"Colon and Rectum"	"21041-21052"	298
	"Alaska"	"02"	"2015"	"2015"	"Corpus Uteri"	"27020"	82
	"Alaska"	"02"	"2015"	"2015"	"Esophagus"	"21010"	31
	"Alaska"	"02"	"2015"	"2015"	"Kidney and Renal Pelvis"	"29020"	142
	"Alaska"	"02"	"2015"	"2015"	"Larynx"	"22020"	23
	"Alaska"	"02"	"2015"	"2015"	"Leukemias"	"35011-35043"	81
	"Alaska"	"02"	"2015"	"2015"	"Liver"	"21071"	59
	"Alaska"	"02"	"2015"	"2015"	"Lung and Bronchus"	"22030"	371
	"Alaska"	"02"	"2015"	"2015"	"Melanoma of the Skin"	"25010"	90
	"Alaska"	"02"	"2015"	"2015"	"Myeloma"	"34000"	31
	"Alaska"	"02"	"2015"	"2015"	"Non-Hodgkin Lymphoma"	"33041-33042"	127
	"Alaska"	"02"	"2015"	"2015"	"Oral Cavity and Pharynx"	"20010-20100"	81
	"Alaska"	"02"	"2015"	"2015"	"Ovary"	"27040"	38
	"Alaska"	"02"	"2015"	"2015"	"Pancreas"	"21100"	75
	"Alaska"	"02"	"2015"	"2015"	"Prostate"	"28010"	253
	"Alaska"	"02"	"2015"	"2015"	"Stomach"	"21020"	59
	"Alaska"	"02"	"2015"	"2015"	"Thyroid"	"32010"	80
	"Alaska"	"02"	"2015"	"2015"	"Urinary Bladder, invasive and in situ"	"29010"	146
	"Alaska"	"02"	"2016"	"2016"	"Brain and Other Nervous System"	"31010-31040"	56
	"Alaska"	"02"	"2016"	"2016"	"Breast"	"26000"	414
	"Alaska"	"02"	"2016"	"2016"	"Cervix Uteri"	"27010"	24
	"Alaska"	"02"	"2016"	"2016"	"Colon and Rectum"	"21041-21052"	272
	"Alaska"	"02"	"2016"	"2016"	"Corpus Uteri"	"27020"	102
	"Alaska"	"02"	"2016"	"2016"	"Esophagus"	"21010"	42
	"Alaska"	"02"	"2016"	"2016"	"Kidney and Renal Pelvis"	"29020"	107
	"Alaska"	"02"	"2016"	"2016"	"Larynx"	"22020"	26
	"Alaska"	"02"	"2016"	"2016"	"Leukemias"	"35011-35043"	77
	"Alaska"	"02"	"2016"	"2016"	"Liver"	"21071"	62
	"Alaska"	"02"	"2016"	"2016"	"Lung and Bronchus"	"22030"	368
	"Alaska"	"02"	"2016"	"2016"	"Melanoma of the Skin"	"25010"	100
	"Alaska"	"02"	"2016"	"2016"	"Myeloma"	"34000"	27
	"Alaska"	"02"	"2016"	"2016"	"Non-Hodgkin Lymphoma"	"33041-33042"	114
	"Alaska"	"02"	"2016"	"2016"	"Oral Cavity and Pharynx"	"20010-20100"	85
	"Alaska"	"02"	"2016"	"2016"	"Ovary"	"27040"	31
	"Alaska"	"02"	"2016"	"2016"	"Pancreas"	"21100"	99
	"Alaska"	"02"	"2016"	"2016"	"Prostate"	"28010"	368
	"Alaska"	"02"	"2016"	"2016"	"Stomach"	"21020"	53
	"Alaska"	"02"	"2016"	"2016"	"Thyroid"	"32010"	93
	"Alaska"	"02"	"2016"	"2016"	"Urinary Bladder, invasive and in situ"	"29010"	126
	"Arizona"	"04"	"2010"	"2010"	"Brain and Other Nervous System"	"31010-31040"	467
	"Arizona"	"04"	"2010"	"2010"	"Breast"	"26000"	4169
	"Arizona"	"04"	"2010"	"2010"	"Cervix Uteri"	"27010"	228
	"Arizona"	"04"	"2010"	"2010"	"Colon and Rectum"	"21041-21052"	2551
	"Arizona"	"04"	"2010"	"2010"	"Corpus Uteri"	"27020"	721
	"Arizona"	"04"	"2010"	"2010"	"Esophagus"	"21010"	300
	"Arizona"	"04"	"2010"	"2010"	"Gallbladder"	"21080"	88
	"Arizona"	"04"	"2010"	"2010"	"Kidney and Renal Pelvis"	"29020"	1188
	"Arizona"	"04"	"2010"	"2010"	"Larynx"	"22020"	172
	"Arizona"	"04"	"2010"	"2010"	"Leukemias"	"35011-35043"	834
	"Arizona"	"04"	"2010"	"2010"	"Liver"	"21071"	474
	"Arizona"	"04"	"2010"	"2010"	"Lung and Bronchus"	"22030"	3676
	"Arizona"	"04"	"2010"	"2010"	"Melanoma of the Skin"	"25010"	1111
	"Arizona"	"04"	"2010"	"2010"	"Myeloma"	"34000"	402
	"Arizona"	"04"	"2010"	"2010"	"Non-Hodgkin Lymphoma"	"33041-33042"	1127
	"Arizona"	"04"	"2010"	"2010"	"Oral Cavity and Pharynx"	"20010-20100"	613
	"Arizona"	"04"	"2010"	"2010"	"Ovary"	"27040"	465
	"Arizona"	"04"	"2010"	"2010"	"Pancreas"	"21100"	769
	"Arizona"	"04"	"2010"	"2010"	"Prostate"	"28010"	3399
	"Arizona"	"04"	"2010"	"2010"	"Stomach"	"21020"	395
	"Arizona"	"04"	"2010"	"2010"	"Thyroid"	"32010"	1078
	"Arizona"	"04"	"2010"	"2010"	"Urinary Bladder, invasive and in situ"	"29010"	1342
	"Arizona"	"04"	"2011"	"2011"	"Brain and Other Nervous System"	"31010-31040"	467
	"Arizona"	"04"	"2011"	"2011"	"Breast"	"26000"	4268
	"Arizona"	"04"	"2011"	"2011"	"Cervix Uteri"	"27010"	209
	"Arizona"	"04"	"2011"	"2011"	"Colon and Rectum"	"21041-21052"	2509
	"Arizona"	"04"	"2011"	"2011"	"Corpus Uteri"	"27020"	789
	"Arizona"	"04"	"2011"	"2011"	"Esophagus"	"21010"	345
	"Arizona"	"04"	"2011"	"2011"	"Gallbladder"	"21080"	75
	"Arizona"	"04"	"2011"	"2011"	"Kidney and Renal Pelvis"	"29020"	1142
	"Arizona"	"04"	"2011"	"2011"	"Larynx"	"22020"	167
	"Arizona"	"04"	"2011"	"2011"	"Leukemias"	"35011-35043"	912
	"Arizona"	"04"	"2011"	"2011"	"Liver"	"21071"	554
	"Arizona"	"04"	"2011"	"2011"	"Lung and Bronchus"	"22030"	3867
	"Arizona"	"04"	"2011"	"2011"	"Melanoma of the Skin"	"25010"	1391
	"Arizona"	"04"	"2011"	"2011"	"Myeloma"	"34000"	421
	"Arizona"	"04"	"2011"	"2011"	"Non-Hodgkin Lymphoma"	"33041-33042"	1247
	"Arizona"	"04"	"2011"	"2011"	"Oral Cavity and Pharynx"	"20010-20100"	705
	"Arizona"	"04"	"2011"	"2011"	"Ovary"	"27040"	437
	"Arizona"	"04"	"2011"	"2011"	"Pancreas"	"21100"	878
	"Arizona"	"04"	"2011"	"2011"	"Prostate"	"28010"	3150
	"Arizona"	"04"	"2011"	"2011"	"Stomach"	"21020"	409
	"Arizona"	"04"	"2011"	"2011"	"Thyroid"	"32010"	1023
	"Arizona"	"04"	"2011"	"2011"	"Urinary Bladder, invasive and in situ"	"29010"	1480
